"file_name","core_name","rdata_file_name","CLASSIFICATION","YEAR","Key","Type","Value"
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","RACE","Black",4708
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","RACE","Not Provided",15381
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","RACE","Other",1481
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","RACE","White",73590
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","row_n","Count",249279
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","zip_add_combination_n","Count",2287
"2. NPI/2.5 NPI_clinic_18.csv","clinic_18","3. df_geo/3.5 df_geo_clinic_18.RData","Clinic/Center","2018","ZIP_n","Count",745
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","address_n","Count",130
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","00 - 04",17139
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","05 - 09",11763
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","10 - 14",9693
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","15 - 19",6344
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","20 - 24",2172
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","25 - 29",2721
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","30 - 34",4045
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","35 - 39",4523
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","40 - 44",5213
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","45 - 49",6044
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","50 - 54",7139
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","55 - 59",8763
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","AGE_RANGE_DFS","60 - 64",7856
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","BEN_ID_n","Count",28506
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","CLAIM_GUID_n","Count",93406
"2. NPI/2.5 NPI_clinic_19.csv","clinic_19","3. df_geo/3.5 df_geo_clinic_19.RData","Clinic/Center","2019","Distance","1st Qu.",9.54
